ID_encrypt,Start_Date,End_Date,Do_you_plan_to_study_in_the_Academic_Program_next_session_,4_Day_Test_Prep,1st_choice_elective_MW,2ndchoice_elective_MW,1st_choice_elective_TTH,2ndchoice_elective_TTH,Quarter
0x019BF7CCC5158C7C61C1DA18D2F02F2D79460C216CE4FD456F59E3B49F3CD7BE47553830BA5CB32B6B92629641008DA7C1D3E60ED8F5AFEC6C87EB59508DA2AE5C,9/27/2017 21:52,9/27/2017 22:38,"YES, I have submitted my intent to register online and paid for the next Academic Program.",I DO NOT want 4-day Test Preparation. I want one Monday/Wednesday elective and one Tuesday/Thursday elective.,English Through Movies,Business English,Current Events,American Idioms and Slang,AIEP_Fall_2017_1st_Half_Elective_Preferences_Advanced
0x01568ADCCFA33C54AB11F738C5005E05BBCF0010039A04FF099AFAA7D67A4EBF00065F913234777376115D5CA52B167AB86DD37D2D03E6F564204C1D3998F3E1C1,9/26/2017 2:17,9/26/2017 2:17,"NO, I do not plan to study in the Academic Program next session.",NULL,NULL,NULL,NULL,NULL,AIEP_Fall_2017_1st_Half_Elective_Preferences_Advanced
0x0172DA8BE7E77C07B0ADE7AFA065C3ABB6BDA4C3025A8C306EEE9606615410E84E6FAEDECBD01F80639153AB5F22EC168721C1416E84AAE0BB2FE6FF141331599E,9/23/2017 16:30,9/23/2017 16:32,"YES, I have submitted my intent to register online and paid for the next Academic Program.",I DO NOT want 4-day Test Preparation. I want one Monday/Wednesday elective and one Tuesday/Thursday elective.,Active Listening and Speaking,College Workshop,American Idioms and Slang,Word Play (Academic Vocabulary Development),AIEP_Fall_2017_1st_Half_Elective_Preferences_Advanced
0x018D3E0300806BCFE4EFD3F4E1D265C83A09E6E32D184B33FF9A1313CE15CEFE66B31352B7E25691A9B08DC73BFA5730F24EEE9F40451BCE3AE6F2C7F777734538,9/23/2017 12:56,9/23/2017 12:57,"NO, I do not plan to study in the Academic Program next session.",NULL,NULL,NULL,NULL,NULL,AIEP_Fall_2017_1st_Half_Elective_Preferences_Advanced
0x01DBC64DA006422F97A525DDC3416A48259415FEBC86602989CF27D15660401565397FC6FE222F23D77AB06B5E3C0358C81BFC8D962D92C829BD642EF9229D3015,9/23/2017 12:06,9/23/2017 12:06,"NO, I do not plan to study in the Academic Program next session.",NULL,NULL,NULL,NULL,NULL,AIEP_Fall_2017_1st_Half_Elective_Preferences_Advanced
0x01EDA24E08D60ACC9F47AF2A4FEC5B5D3E5944DD9768B953F5508E82D014004C2D8FFAA15CD320C8A2A3263EAA4A99AEBDA90089A24D80E81D11883732F69C6620,9/23/2017 12:01,9/23/2017 12:01,"NO, I do not plan to study in the Academic Program next session.",NULL,NULL,NULL,NULL,NULL,AIEP_Fall_2017_1st_Half_Elective_Preferences_Advanced
0x010E5D6F1868D31612461B7DC1CC9ECE1743DAC34844088EDC3176026CB20C78ED4BCC6D807F4F506F29874234B8D1B12BC17C648270E6DF4260534DC04AC7ADBE,9/22/2017 22:02,9/22/2017 22:02,"NO, I do not plan to study in the Academic Program next session.",NULL,NULL,NULL,NULL,NULL,AIEP_Fall_2017_1st_Half_Elective_Preferences_Advanced
0x017CA4839926CA5FB462A7D27B8561685A7A43B9B786BCD92941A489FB4C22E0C2FE393F6BD82BFA02D44ABCBB39976AEEAF29EA65BFA58F51AAC77CE38BBB5886,9/22/2017 9:45,9/22/2017 11:33,"YES, I have submitted my intent to register online and paid for the next Academic Program.","I want 4-dayIELTS Test Preparation(Monday, Tuesday, Wednesday, Thursday)",NULL,NULL,NULL,NULL,AIEP_Fall_2017_1st_Half_Elective_Preferences_Advanced
0x01A9302B51E58C8BCAEF2122FA0D94AD9288418054959A2615EEC73041D81AB8107FBC20FA0C6CAEB6830D73DBA131565E27B9573B390B816EAABEEF59E7BFEECD,9/21/2017 16:41,9/29/2017 15:51,"YES, I have submitted my intent to register online and paid for the next Academic Program.","I want 4-dayIELTS Test Preparation(Monday, Tuesday, Wednesday, Thursday)",NULL,NULL,NULL,NULL,AIEP_Fall_2017_1st_Half_Elective_Preferences_Advanced
0x01B8921443017BC279B605ED1413D9C50335E7C73D8AEEC9E671F80CB2B3FD9D6CE81914F4C69040A25E48EDBBF37FE785E18EB68EAD70E3E6E6E6EFC0D8F1659F,9/21/2017 14:44,9/21/2017 14:47,"YES, I have submitted my intent to register online and paid for the next Academic Program.",I DO NOT want 4-day Test Preparation. I want one Monday/Wednesday elective and one Tuesday/Thursday elective.,English Through Movies,Business English,American Pronunciation,Word Play (Academic Vocabulary Development),AIEP_Fall_2017_1st_Half_Elective_Preferences_Advanced
